[[484, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[525, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[744, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[109, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[72, 0], [0, 0], [0, 0], [0, 0], [17992, 23432], [900, 2734], [0, 0], [612, -954], [-2586, -5536], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[859, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[622, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[51, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[838, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[585, 0], [0, 0], [0, 0], [0, 0], [61656, -7344], [5295, 1242], [0, 0], [216, -289], [-13278, -1488], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[166, 0], [0, 0], [0, 0], [0, 0], [-23112, 28328], [-2630, 1906], [0, 0], [468, -761], [6266, -4544], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[564, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[937, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[916, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[265, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

